# x_m,y_m,w_tr_right_m,w_tr_left_m
144.2371786,18.1021734,7.711,7.589
144.2122836,17.1029336,7.704,7.596
144.18746180000002,16.103695,7.697,7.603
144.16272220000002,15.1044578,7.69,7.61
144.1380636,14.105221800000002,7.683,7.617
144.1134844,13.105987200000001,7.676,7.624
144.088983,12.1067538,7.669,7.631
144.0645584,11.107521400000001,7.662,7.638
144.0402086,10.108290400000001,7.655,7.645
144.0159324,9.1090606,7.648,7.652
143.99172840000003,8.1098318,7.641,7.659
143.9675948,7.1106039999999995,7.638,7.662
143.9435306,6.1113774,7.639,7.661
143.9195338,5.1121518,7.639,7.661
143.8956032,4.1129274,7.64,7.66
143.8717374,3.1137038,7.641,7.659
143.84793480000002,2.1144812,7.641,7.659
143.8241938,1.1152598,7.642,7.658
143.8005132,0.116039,7.643,7.657
143.7768916,-0.8831808000000001,7.643,7.657
143.75332699999998,-1.8823996000000003,7.644,7.656
143.7298184,-2.8816176000000002,7.645,7.655
143.70636420000002,-3.8808348000000006,7.646,7.654
143.6829628,-4.8800512000000005,7.646,7.654
143.659613,-5.8792670000000005,7.647,7.653
143.636313,-6.8784818,7.648,7.652
143.6130616,-7.877696,7.648,7.652
143.5898572,-8.8769094,7.649,7.651
143.5666984,-9.876122200000001,7.65,7.65
143.54358340000002,-10.8753344,7.651,7.649
143.52051120000002,-11.874546,7.651,7.649
143.4974802,-12.873756800000002,7.652,7.648
143.4744886,-13.8729672,7.653,7.647
143.4515352,-14.872177,7.653,7.647
143.42861860000002,-15.8713864,7.654,7.646
143.4057372,-16.8705952,7.655,7.645
143.3828896,-17.8698036,7.655,7.645
143.3600742,-18.8690114,7.656,7.644
143.3372894,-19.8682188,7.657,7.643
143.3145342,-20.867426000000002,7.658,7.642
143.2918068,-21.866632600000003,7.658,7.642
143.2691056,-22.865839,7.659,7.641
143.2464294,-23.8650452,7.66,7.64
143.2237766,-24.8642508,7.66,7.64
143.2011458,-25.863456400000004,7.661,7.639
143.1785356,-26.862661600000003,7.662,7.638
143.1559442,-27.861866600000003,7.663,7.637
143.1333704,-28.861071600000002,7.663,7.637
143.1108126,-29.8602762,7.664,7.636
143.0882694,-30.8594808,7.665,7.635
143.06573920000002,-31.858685200000004,7.665,7.635
143.0432208,-32.8578896,7.666,7.634
143.0207124,-33.8570938,7.667,7.633
142.9982128,-34.8562982,7.667,7.633
142.9757204,-35.8555024,7.668,7.632
142.9532338,-36.8547066,7.669,7.631
142.9307512,-37.853911000000004,7.67,7.63
142.9082716,-38.853115200000005,7.67,7.63
142.8857932,-39.852319800000004,7.671,7.629
142.86331479999998,-40.8515244,7.672,7.628
142.8408346,-41.850729,7.672,7.628
142.8183514,-42.8499338,7.673,7.627
142.7958634,-43.84913900000001,7.674,7.626
142.7733696,-44.84834420000001,7.674,7.626
142.750868,-45.8475498,7.675,7.625
142.7283576,-46.8467556,7.676,7.624
142.7058366,-47.8459616,7.677,7.623
142.6833038,-48.845168,7.677,7.623
142.66075740000002,-49.844374800000004,7.678,7.622
142.6381962,-50.843582,7.679,7.621
142.6156186,-51.84278940000001,7.679,7.621
